name,price,daily_interest_percentage,weekly_interest_percentage,market_cap,daily_volume
Phantasma,$2.03,-5.38%,+54.53%,"$211,855,141","$4,875,630"
YooShi,$0.0000005601,+1.15%,+18.87%,"$210,017,464","$3,591,979"
aelf,$0.3857,+1.17%,+11.55%,"$209,984,205","$14,355,031"
Propy,$2.80,+26.32%,+35.08%,"$206,981,881","$3,235,311"
Alpha Finance Lab,$0.4652,+8.28%,+26.65%,"$207,655,054","$19,232,466"
Verge,$0.01237,+7.55%,+28.36%,"$204,122,388","$6,141,867"
Orchid,$0.2944,+7.67%,+26.89%,"$203,353,702","$51,983,631"
Bitcoin Standard Hashrate Token,$17.67,+5.87%,+17.37%,"$201,754,236","$5,620,497"
Energy Web Token,$6.70,+3.05%,+17.65%,"$201,460,080","$1,796,108"
Mask Network,$6.89,+1.26%,+22.83%,"$200,736,477","$40,786,440"
Orbit Chain,$0.3424,+0.25%,+15.84%,"$200,353,507","$1,340,234"
Astar,$0.1284,+3.11%,+8.77%,"$200,058,626","$2,892,123"
Alchemix,$179.28,+2.76%,+13.64%,"$198,055,017","$7,762,009"
Bloktopia,$0.02367,-2.92%,-13.57%,"$197,412,589","$21,030,781"
VeThor Token,$0.004341,+10.68%,+30.38%,"$197,371,615","$11,408,900"
HedgeTrade,$0.5656,-0.63%,+4.83%,"$197,231,175","$60,227"
Seedify.fund,$8.03,+4.89%,+36.00%,"$197,056,165","$4,534,490"
Bitcoin Diamond,$1.04,-1.53%,+19.49%,"$193,495,173","$1,950,227"
Humanscape,$0.2707,-3.12%,+11.74%,"$192,574,327","$13,289,373"
Tether Gold,"$1,816.27",+0.38%,+0.54%,"$191,705,185","$1,039,747"
RMRK,$20.18,+1.45%,+31.20%,"$191,675,379","$7,170,463"
JasmyCoin,$0.04018,-0.60%,-2.97%,"$191,072,595","$91,067,727"
Wilder World,$2.28,+13.01%,+42.08%,"$191,056,747","$5,539,483"
Conflux,$0.1332,+0.61%,+24.03%,"$189,555,758","$10,272,007"
Akash Network,$1.66,+1.54%,+15.98%,"$189,333,666","$1,231,106"
Ontology Gas,$0.6949,+0.63%,+11.26%,"$189,026,151","$6,676,784"
NKN,$0.2699,-0.85%,+35.66%,"$188,900,362","$16,877,932"
Veritaseum,$87.81,+21.19%,+10.09%,"$188,765,303","$61,885"
Hathor,$0.8307,+0.10%,+35.27%,"$188,145,136","$11,464,536"
XSGD,$0.7419,-0.43%,+0.31%,"$185,100,115","$864,854"
Venus BTC,$884.85,+0.75%,+18.88%,"$182,134,769",N/A
iExec RLC,$2.23,+1.56%,+21.12%,"$178,418,610","$14,593,540"
Keep3rV1,$884.66,+0.63%,+4.52%,"$176,932,767","$26,953,390"
Prometeus,$10.72,+3.77%,+17.56%,"$176,374,857","$4,077,780"
Sun (New),$0.01676,+1.02%,+13.79%,"$176,198,675","$57,025,855"
Mango,$0.1756,+4.35%,+20.34%,"$175,642,184","$1,150,705"
StormX,$0.01751,+6.17%,+19.65%,"$175,122,028","$9,145,670"
ASD,$0.2649,+3.17%,+6.16%,"$174,979,599","$2,242,251"
ASD,$0.2648,+3.51%,+6.14%,"$174,929,993","$2,235,064"
Hxro,$0.4249,+1.28%,+7.26%,"$173,143,475","$142,951"
Orion Protocol,$4.18,+3.02%,+9.23%,"$171,920,650","$9,372,941"
inSure DeFi,$0.00636,+1.03%,+14.86%,"$170,397,079","$1,520,123"
PlatON,$0.07337,-2.31%,+2.77%,"$169,328,702","$4,249,379"
Qredo,$3.86,+12.35%,+72.47%,"$167,422,800","$29,994,073"
Augur,$15.14,+1.05%,+1.24%,"$166,573,842","$13,355,914"
DEAPcoin,$0.0404,-0.66%,+10.03%,"$166,089,368","$5,414,966"
Polkastarter,$1.88,+2.85%,+26.47%,"$165,703,499","$6,875,363"
CENNZnet,$0.1376,-3.09%,+10.02%,"$165,073,904","$1,338,192"
Numeraire,$27.79,+4.47%,+20.62%,"$163,666,223","$34,241,900"
Stratis,$1.22,+5.97%,+18.44%,"$162,871,269","$12,615,764"
DAO Maker,$2.27,+3.04%,+3.72%,"$159,029,860","$5,068,225"
Safe,$7.60,+1.25%,-5.20%,"$158,334,969",N/A
Radicle,$6.00,-0.07%,+14.10%,"$155,592,994","$8,337,176"
Dawn Protocol,$2.13,+1.30%,+16.24%,"$154,745,530","$5,840,123"
Origin Protocol,$0.3987,+7.83%,+28.09%,"$154,930,515","$50,663,415"
Unibright,$1.03,+5.03%,+17.24%,"$154,796,489","$1,301,397"
KardiaChain,$0.04598,+0.62%,+9.91%,"$154,156,528","$1,085,003"
API3,$4.18,+12.19%,+24.22%,"$154,416,182","$25,788,384"
Beefy Finance,"$2,126.87",-1.24%,-4.96%,"$153,134,639","$1,949,420"
Decentral Games,$0.3887,+2.34%,+19.96%,"$152,795,490","$785,278"
Bonfida,$3.41,+56.54%,+48.28%,"$152,728,106","$148,203,845"
USDX [Kava],$0.9812,+0.34%,+0.55%,"$151,598,152","$465,511"
e-Radix,$0.2042,+2.54%,+24.59%,"$150,066,738","$2,102,894"
Badger DAO,$11.91,+2.03%,+16.58%,"$148,691,164","$7,482,274"
Standard Tokenization Protocol,$0.1022,+0.40%,+25.56%,"$148,465,940","$8,899,101"
CRYPTO20,$3.66,+2.65%,+16.50%,"$146,167,569","$164,601"
BakeryToken,$0.7465,+3.06%,+19.30%,"$144,475,055","$24,635,432"
Steem,$0.3645,+2.27%,+6.77%,"$143,978,415","$8,618,797"
Band Protocol,$4.09,+5.41%,+22.83%,"$143,850,161","$19,820,173"
Metadium,$0.08357,+0.24%,+17.10%,"$141,015,755","$3,388,287"
Electroneum,$0.007862,+1.06%,+17.58%,"$140,834,910","$171,602"
Verasity,$0.03125,+2.05%,+65.18%,"$139,687,981","$95,958,939"
Ark,$1.03,+0.77%,+9.62%,"$138,568,807","$3,216,763"
DeversiFi,$5.73,+0.85%,-0.88%,"$138,331,265","$14,239"
SOMESING,$0.05223,-0.38%,+19.05%,"$137,547,133","$5,972,954"
RSK Infrastructure Framework,$0.1653,+2.47%,+24.63%,"$137,104,692","$1,771,246"
Hyperion,$0.6725,+6.64%,+70.55%,"$137,038,154",$255
